2017-05-22 23:45:19.081117 , Temp:  ,UV: ,Knob: 
2017-05-23 00:00:09.376735 , 35.407 ,0.0 ,468
2017-05-23 00:00:19.439023 , 35.407 ,0.0 ,468
2017-05-23 00:00:29.496882 , 35.895 ,0.0 ,468
2017-05-23 00:00:39.553568 , 35.407 ,0.0 ,468
2017-05-23 00:00:49.617661 , 35.895 ,0.0 ,468
2017-05-23 00:00:59.672686 , 35.895 ,0.0 ,468
2017-05-23 00:01:09.852437 , 35.895 ,0.0 ,468
2017-05-23 00:01:19.942073 , 35.407 ,0.0 ,468
2017-05-23 00:01:30.001621 , 35.895 ,0.0 ,468
2017-05-23 00:01:40.060929 , 35.895 ,0.0 ,468
2017-05-23 00:01:50.120445 , 38.828 ,0.0 ,468
2017-05-23 00:02:00.179939 , 36.384 ,0.0 ,468
2017-05-23 00:02:10.239453 , 35.895 ,0.0 ,468
2017-05-23 00:02:20.298910 , 35.895 ,0.0 ,468
2017-05-23 00:02:30.375050 , 35.895 ,0.0 ,468
2017-05-23 00:02:40.429945 , 36.384 ,0.0 ,468
2017-05-23 00:02:50.479024 , 35.895 ,0.0 ,468
2017-05-23 00:03:00.536752 , 36.384 ,0.0 ,468
2017-05-23 00:03:10.596301 , 35.407 ,0.0 ,468
2017-05-23 00:03:20.655707 , 35.407 ,0.0 ,468
2017-05-23 00:03:30.718371 , 35.895 ,0.0 ,468
2017-05-23 00:03:40.774767 , 35.895 ,0.0 ,468
2017-05-23 00:03:50.833577 , 35.895 ,0.0 ,468
2017-05-23 00:04:00.893742 , 35.407 ,0.0 ,468
2017-05-23 00:04:10.952937 , 35.895 ,0.0 ,468
2017-05-23 00:04:21.012646 , 36.384 ,0.0 ,468
2017-05-23 00:04:31.072063 , 36.384 ,0.0 ,468
2017-05-23 00:04:41.139101 , 35.407 ,0.0 ,468
2017-05-23 00:04:51.190762 , 35.895 ,0.0 ,468
2017-05-23 00:05:01.250446 , 35.895 ,0.0 ,468
2017-05-23 00:05:11.309676 , 35.895 ,0.0 ,468
2017-05-23 00:05:21.369424 , 35.407 ,0.0 ,468
2017-05-23 00:05:31.428688 , 35.895 ,0.0 ,468
2017-05-23 00:05:41.488446 , 35.895 ,0.0 ,683
2017-05-23 00:05:51.610566 , 35.895 ,0.0 ,683
2017-05-23 00:06:01.684299 , 35.895 ,0.0 ,683
2017-05-23 00:06:11.743806 , 35.407 ,0.0 ,683
2017-05-23 00:06:21.803040 , 35.895 ,0.0 ,683
2017-05-23 00:06:31.862701 , 35.895 ,0.0 ,683
2017-05-23 00:06:41.929832 , 35.895 ,0.0 ,683
2017-05-23 00:06:51.985361 , 35.407 ,0.0 ,683
2017-05-23 00:07:02.041248 , 36.384 ,0.0 ,683
2017-05-23 00:07:12.105547 , 35.895 ,0.0 ,683
2017-05-23 00:07:22.175935 , 35.407 ,0.0 ,683
2017-05-23 00:07:32.219399 , 35.407 ,0.0 ,683
2017-05-23 00:07:42.278931 , 35.895 ,0.0 ,683
2017-05-23 00:07:52.338317 , 34.918 ,0.0 ,683
2017-05-23 00:08:02.396822 , 35.895 ,0.0 ,683
2017-05-23 00:08:12.457282 , 35.895 ,0.0 ,683
2017-05-23 00:08:22.516884 , 35.895 ,0.0 ,683
2017-05-23 00:08:32.576277 , 34.918 ,0.0 ,683
2017-05-23 00:08:42.641699 , 36.384 ,0.0 ,683
2017-05-23 00:08:52.695248 , 35.895 ,0.0 ,683
2017-05-23 00:09:02.754802 , 36.384 ,0.0 ,683
2017-05-23 00:09:12.814222 , 35.895 ,0.0 ,683
2017-05-23 00:09:22.873731 , 35.895 ,0.0 ,683
2017-05-23 00:09:32.941057 , 35.895 ,0.0 ,683
2017-05-23 00:09:42.992510 , 35.895 ,0.0 ,683
2017-05-23 00:09:53.059308 , 35.895 ,0.0 ,683
2017-05-23 00:10:03.111620 , 34.918 ,0.0 ,683
2017-05-23 00:10:13.170944 , 35.895 ,0.0 ,683
2017-05-23 00:10:23.674104 , 35.895 ,0.0 ,683
2017-05-23 00:10:33.756320 , 35.895 ,0.0 ,683
2017-05-23 00:10:43.811930 , 35.895 ,0.0 ,683
2017-05-23 00:10:53.878448 , 36.384 ,0.0 ,683
2017-05-23 00:11:03.935821 , 36.384 ,0.0 ,683
2017-05-23 00:11:13.997586 , 35.895 ,0.0 ,683
2017-05-23 00:11:24.049922 , 35.407 ,0.0 ,683
2017-05-23 00:11:34.115071 , 35.895 ,0.0 ,683
2017-05-23 00:11:44.176514 , 35.895 ,0.0 ,683
2017-05-23 00:11:54.245669 , 35.895 ,0.0 ,683
2017-05-23 00:12:04.305044 , 35.895 ,0.0 ,683
2017-05-23 00:12:14.365143 , 35.895 ,0.0 ,683
2017-05-23 00:12:24.411681 , 35.895 ,0.0 ,683
2017-05-23 00:12:34.465974 , 35.895 ,0.0 ,683
2017-05-23 00:12:44.525674 , 35.895 ,0.0 ,683
2017-05-23 00:12:54.585021 , 35.895 ,0.0 ,683
2017-05-23 00:13:04.644717 , 35.895 ,0.0 ,683
2017-05-23 00:13:14.704055 , 35.895 ,0.0 ,683
