2017-05-22 14:26:45.701994 , Temp:  ,UV: ,Knob: 
2017-05-22 14:43:36.605908 , 36.384 ,10.0 ,149
2017-05-22 14:43:46.665326 , 34.918 ,9.0 ,149
2017-05-22 14:43:56.725118 , 35.407 ,8.0 ,149
2017-05-22 14:44:06.784764 , 35.895 ,8.0 ,149
2017-05-22 14:44:16.843818 , 36.384 ,9.0 ,149
2017-05-22 14:44:26.903322 , 35.895 ,9.0 ,149
2017-05-22 14:44:36.962761 , 35.895 ,9.0 ,149
2017-05-22 14:44:47.022115 , 36.384 ,9.0 ,149
2017-05-22 14:44:57.081560 , 36.384 ,9.0 ,149
2017-05-22 14:45:07.141362 , 35.895 ,9.0 ,866
2017-05-22 14:45:17.200654 , 36.384 ,9.0 ,866
2017-05-22 14:45:27.260106 , 35.895 ,9.0 ,866
2017-05-22 14:45:37.319518 , 35.895 ,9.0 ,866
2017-05-22 14:45:47.379097 , 35.407 ,10.0 ,866
2017-05-22 14:45:57.438366 , 35.895 ,10.0 ,866
2017-05-22 14:46:07.497921 , 36.384 ,10.0 ,866
2017-05-22 14:46:17.557236 , 35.895 ,10.0 ,866
2017-05-22 14:46:27.616811 , 35.895 ,10.0 ,866
2017-05-22 14:46:37.674167 , 35.895 ,10.0 ,866
2017-05-22 14:46:47.735814 , 36.384 ,9.0 ,866
2017-05-22 14:46:57.795371 , 35.895 ,8.0 ,866
2017-05-22 14:47:07.854929 , 35.895 ,9.0 ,275
2017-05-22 14:47:17.914051 , 36.384 ,10.0 ,275
2017-05-22 14:47:27.973584 , 35.895 ,10.0 ,275
2017-05-22 14:47:38.033016 , 35.895 ,9.0 ,275
2017-05-22 14:47:48.092493 , 36.384 ,10.0 ,275
2017-05-22 14:47:58.151855 , 36.384 ,10.0 ,275
2017-05-22 14:48:08.211332 , 35.895 ,10.0 ,275
2017-05-22 14:48:18.270818 , 36.384 ,8.0 ,275
2017-05-22 14:48:28.330225 , 36.384 ,8.0 ,275
2017-05-22 14:48:38.389641 , 36.384 ,9.0 ,275
2017-05-22 14:48:48.449288 , 36.384 ,10.0 ,275
2017-05-22 14:48:58.508715 , 35.895 ,10.0 ,275
2017-05-22 14:49:08.568315 , 35.895 ,10.0 ,584
2017-05-22 14:49:18.627518 , 36.384 ,10.0 ,584
2017-05-22 14:49:28.687118 , 35.407 ,10.0 ,584
2017-05-22 14:49:38.746531 , 36.384 ,10.0 ,584
2017-05-22 14:49:48.805901 , 36.384 ,10.0 ,584
2017-05-22 14:49:58.865482 , 36.384 ,9.0 ,584
2017-05-22 14:50:08.925082 , 36.384 ,9.0 ,584
2017-05-22 14:50:18.984538 , 35.895 ,9.0 ,584
2017-05-22 14:50:29.043839 , 36.384 ,9.0 ,584
2017-05-22 14:50:39.103243 , 36.384 ,9.0 ,584
2017-05-22 14:50:49.162781 , 36.384 ,9.0 ,584
2017-05-22 14:50:59.222237 , 36.873 ,9.0 ,584
2017-05-22 14:51:09.281782 , 36.384 ,9.0 ,317
2017-05-22 14:51:19.341030 , 36.384 ,9.0 ,317
2017-05-22 14:51:29.400511 , 36.873 ,9.0 ,317
2017-05-22 14:51:39.459952 , 36.384 ,9.0 ,317
2017-05-22 14:51:49.519312 , 35.895 ,9.0 ,317
2017-05-22 14:51:59.579032 , 35.895 ,9.0 ,317
2017-05-22 14:52:09.638281 , 36.873 ,9.0 ,317
2017-05-22 14:52:19.698043 , 36.384 ,9.0 ,317
2017-05-22 14:52:29.757232 , 36.384 ,9.0 ,317
2017-05-22 14:52:39.816797 , 36.384 ,8.0 ,317
2017-05-22 14:52:49.876382 , 35.895 ,9.0 ,317
2017-05-22 14:52:59.935944 , 36.384 ,9.0 ,317
2017-05-22 14:53:09.995493 , 36.384 ,9.0 ,829
2017-05-22 14:53:20.054602 , 36.384 ,9.0 ,829
2017-05-22 14:53:30.114207 , 36.384 ,8.0 ,829
2017-05-22 14:53:40.173582 , 36.384 ,7.0 ,829
2017-05-22 14:53:50.232998 , 36.384 ,7.0 ,829
